seqname	DTT	PH	EW	DTT_F	PH_F	EW_F	DTT_M	PH_M	EW_M	MPH.DTT	MPH.PH	MPH.EW
MG_1414_X_MG_1522	62.660152450776	275.921666251331	241.436501050727	70.7233303806873	248.288739813411	105.135768652162	68.8675635466986	167.41828375895	117.839506937584	-0.102231518291282	0.327481378015746	1.16558988804613
MG_1296_X_MG_1522	65.525108070322	269.421007569594	241.010338767001	70.5488208102264	228.036867325338	80.5979331005763	68.8675635466986	167.41828375895	117.839506937584	-0.0600085008291597	0.362586917029027	1.42908131369417
MG_95_X_MG_1522	61.5460030431747	268.566126427886	220.59596303782	68.9782346760783	215.761329598779	99.5293473496367	68.8675635466986	167.41828375895	117.839506937584	-0.107031134257596	0.40177669722297	1.02969246685484
MG_697_X_MG_1522	62.0234956464324	277.008077702251	221.65223988344	67.4076485419302	235.944083068121	86.4615535169987	68.8675635466986	167.41828375895	117.839506937584	-0.0897318052810013	0.373494904253225	1.16985892672559
MG_1045_X_MG_1522	64.4109586627208	294.524236095368	247.22375814508	72.8174452262181	207.490087024014	81.7691315530984	68.8675635466986	167.41828375895	117.839506937584	-0.0907865381022153	0.571179835116935	1.47708475960193
MG_901_X_MG_1522	62.8193166518619	286.776875748641	261.352574172292	67.0586294010084	273.60934034173	109.474380119965	68.8675635466986	167.41828375895	117.839506937584	-0.0756848950219699	0.300493937691187	1.29948620874294
MG_802_X_MG_1522	63.9334660594631	264.220480624205	229.789846538129	68.2801963942347	197.587635607207	80.0159876101069	68.8675635466986	167.41828375895	117.839506937584	-0.0676702836853052	0.447759976512333	1.32280480320693
MG_734_X_MG_1522	61.7051672442606	245.938491208308	209.913851374282	67.0586294010084	188.362550573959	78.1324586777379	68.8675635466986	167.41828375895	117.839506937584	-0.0920783418395369	0.382528048029591	1.14228449171477
MG_1221_X_MG_1522	62.1826598475183	259.83030976106	231.638776320813	65.4880432668603	182.233997579844	68.3851965429097	68.8675635466986	167.41828375895	117.839506937584	-0.0743570540557009	0.48622116101281	1.48773414043939
MG_1395_X_MG_1522	61.5460030431747	283.125820872597	249.532248509587	67.756667682852	220.507502218282	78.771559529449	68.8675635466986	167.41828375895	117.839506937584	-0.0990470359570764	0.4596906475777	1.53833370616936
MG_1222_X_MG_1522	62.660152450776	272.163751232573	218.672221067398	67.2331389714693	263.517963607059	117.803474965461	68.8675635466986	167.41828375895	117.839506937584	-0.0792089784781004	0.26312768023626	0.855962094023835
MG_805_X_MG_1522	64.5701228638067	286.082284821003	240.172709450713	71.4213686625309	283.249139487361	88.6542409924948	68.8675635466986	167.41828375895	117.839506937584	-0.0794694656666767	0.269593807159412	1.3261983654056
MG_902_X_MG_1522	67.1167500811809	248.832620073465	212.577699630547	71.7703878034527	220.194162666703	142.679046729104	68.8675635466986	167.41828375895	117.839506937584	-0.0455385699685294	0.283924819071531	0.631958235899948
MG_164_X_MG_1522	61.0685104399171	273.357022826207	240.373099239299	67.756667682852	219.079042497849	94.4321283615989	68.8675635466986	167.41828375895	117.839506937584	-0.106036902966177	0.414535130028721	1.26476890235955
MG_1336_X_MG_1522	NA	NA	NA	73.8645026489835	226.352206442144	78.5663198198418	68.8675635466986	167.41828375895	117.839506937584	NA	NA	NA
MG_434_X_MG_1522	60.5910178366594	244.202013889214	214.009818652972	65.3135336963994	189.362472378262	88.0709965155152	68.8675635466986	167.41828375895	117.839506937584	-0.0968769956190521	0.36891920143416	1.07866830554098
MG_707_X_MG_1522	62.8193166518619	281.460583648646	254.154572966296	69.6762729579219	237.188225405273	91.7821980070804	68.8675635466986	167.41828375895	117.839506937584	-0.0931488799970277	0.391280551714534	1.4248879478715
MG_1267_X_MG_1522	62.660152450776	261.798317389366	209.151479551921	72.4684260852963	216.752575534117	130.048320240906	68.8675635466986	167.41828375895	117.839506937584	-0.113316394303701	0.362926474283421	0.68746873884471
MG_431_X_MG_1522	64.5701228638067	258.093832441966	211.15893992736	66.7096102600866	211.558893259957	85.2223213777051	68.8675635466986	167.41828375895	117.839506937584	-0.0474779632768067	0.362054752068037	1.07975020888218
MG_1436_X_MG_1522	63.2968092551195	277.13274786875	250.312432753147	72.1242696705519	237.79914527459	86.422803724311	68.8675635466986	167.41828375895	117.839506937584	-0.102120912810784	0.367822447961939	1.45089201176693
MG_881_X_MG_1522	61.7051672442606	263.721799958209	222.319315219657	69.501763387461	208.029215370113	81.6708951006265	68.8675635466986	167.41828375895	117.839506937584	-0.108109165355385	0.404839827512355	1.22864886189822
